OBJECT_NAME,OBJECT_ID,NORAD_CAT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,REV_AT_EPOCH,BSTAR,orbital_period_min,altitude_estimated,drag_index,energy_index,orbit_type,orbit_family,anomaly_score,anomaly_flag
ORBCOMM FM06,1997-084G,25118,2025-10-13 22:54:11.805120,14.46524277,0.00016368,45.0123,157.252,68.5296,305.8489,2.091e-05,0.0,45872,0.000615001,99.54896871737743,744.1603198768771,1.0066336368000001e-07,0.002389563361471207,LEO,LEO,-0.18407974715848918,1
INMARSAT 3-F5,1998-006B,25153,2025-10-13 18:17:34.027296,1.00273935,0.00050397,9.1404,55.6497,154.6465,32.7043,-3e-06,0.0,10142,0.0,1436.066112295284,35793.12924891271,0.0,0.49727186508557375,GEO,GEO,0.010470973307737719,-1
ORBCOMM FM04,1998-007C,25159,2025-10-13 13:22:05.192256,14.35038385,0.00386909,107.9619,22.1029,37.0693,323.3109,1.301e-05,0.0,44120,0.00049808785,100.34574789440214,782.0758356172082,1.9271467195565e-06,0.0024279680556729627,LEO,LEO,-0.10391540920426368,1
CELESTIS-02 & TAURUS R/B,1998-007D,25160,2025-10-13 16:22:35.505696,14.22381359,0.00621241,108.0016,194.6714,196.1182,184.1513,9.2e-07,0.0,43546,9.7641288e-05,101.23867209651753,824.4474642465739,6.0658771398408e-07,0.002471370738779465,LEO,LEO,-0.12984632927065343,1
TECHSAT 1B (GO-32),1998-043D,25397,2025-10-13 22:15:17.151840,14.24351681,0.00012203,98.9864,268.7737,156.1402,203.9832,1.38e-06,0.0,41627,7.9847819e-05,101.09862748145274,817.8102368194104,9.74382935257e-09,0.0024645381169544635,LEO,LEO,-0.17653021372031025,1
WESTPAC,1998-043E,25398,2025-10-13 21:31:27.579936,14.23031208,0.00013956,98.9866,262.4907,153.4737,206.6512,6e-08,0.0,41591,2.3023089e-05,101.19243990606846,822.25668994442,3.2131023008399997e-09,0.002469114075555381,LEO,LEO,-0.17811266361063843,1
ORBCOMM FM19,1998-046C,25415,2025-10-13 21:06:11.888064,14.38715907,0.00038105,44.9953,333.7237,193.1608,336.8316,1.562e-05,0.0,42129,0.00055016382,100.08925271443461,769.8812515168447,2.09639923611e-07,0.002415571592624893,LEO,LEO,-0.16579992569345192,1
ORBCOMM FM20,1998-046D,25416,2025-10-13 20:03:40.045824,14.37472023,0.00025514,44.9954,339.286,231.2135,128.8486,1.145e-05,0.0,42133,0.00042610087,100.17586269225082,774.0001246729598,1.087153759718e-07,0.002419753922197311,LEO,LEO,-0.18610905519082638,1
ORBCOMM FM27,1998-053G,25481,2025-10-13 16:46:45.699456,14.38417784,0.00017102,45.0059,65.5066,159.077,201.0149,1.67e-05,0.0,41473,0.00058862941,100.10999697150575,770.8678853190213,1.006674016982e-07,0.0024165729874698325,LEO,LEO,-0.1983701512753807,1
SCD 2,1998-060A,25504,2025-10-13 22:55:08.975136,14.45372115,0.00169141,24.9939,150.5145,41.8214,341.0703,5.57e-06,0.0,42466,0.00010498527,99.62832304952832,747.9409973057664,1.775731355307e-07,0.0023933745065733932,LEO,LEO,-0.13091046983042887,1
ISS (ZARYA),1998-067A,25544,2025-10-13 19:35:16.525536,15.49912173,7.987e-05,51.6332,79.1379,266.7872,93.3025,0.00012055,0.0,53356,0.00021953053,92.90849024127253,424.11975765529223,1.75339034311e-08,0.0020814013211112635,LEO,LEO,-0.19735059383774695,1
SWAS,1998-071A,25560,2025-10-13 21:09:53.949024,15.07190643,0.00090054,69.8947,141.6464,272.4553,87.5579,5.262e-05,0.0,46012,0.00035519496,95.54199441775594,551.9264103846535,3.198672692784e-07,0.0022010688409824725,LEO,LEO,-0.21159420727498252,1
SKYNET 4E,1999-009B,25639,2025-10-10 11:40:34.732704,1.00273946,0.0002947,11.9145,10.4458,203.8073,339.0041,-3.7e-07,0.0,4867,0.0,1436.0659547595744,35793.126165323876,0.0,0.497271755984647,GEO,GEO,0.007876784794080494,-1
DLR-TUBSAT,1999-029B,25757,2025-10-13 22:25:10.032096,14.52322205,0.00146896,98.6511,269.6173,23.4433,336.7428,2.33e-06,0.0,39750,6.9130348e-05,99.15155156634131,725.2110425254414,1.0154971599808001e-07,0.002370522323016213,LEO,LEO,-0.14251022823333426,1
CXO,1999-040B,25867,2025-10-15 10:30:58.729536,0.37806235,0.82391564,51.9505,124.6447,310.6333,0.0894,8.26e-06,0.0,1639,0.0,3808.8955432880316,74419.36216174363,0.0,3.498187996643381,GEO,HEO,0.10813141721316966,-1
ABS-6,1999-053A,25924,2025-10-13 21:01:10.841088,1.0027216,0.00022087,0.0618,84.631,168.7091,243.6524,-1.33e-06,0.0,9537,0.0,1436.0915332830168,35793.626835405405,0.0,0.49728947047819394,GEO,GEO,-0.028063348177456926,1
NAVSTAR 46 (USA 145),1999-055A,25933,2025-10-13 12:12:46.499328,2.00550955,0.01118898,51.686,306.2476,168.6069,194.4967,-4.4e-07,0.0,19063,0.0,718.0220109148819,20190.464602083735,0.0,0.12431414162766463,MEO,MEO,0.008922828036143193,-1
UFO 10 (USA 146),1999-063A,25967,2025-10-13 15:00:52.883712,1.00273108,0.00056952,9.8174,28.4605,204.9427,351.3308,-1.97e-06,0.0,9487,0.0,1436.0779562153393,35793.36108034224,0.0,0.4972800675944315,GEO,GEO,0.01761360155033409,-1
ORBCOMM FM32,1999-065C,25982,2025-10-13 21:13:58.127520,14.36548491,0.0008117,45.0152,258.6199,273.9071,86.0849,1.294e-05,0.0,35166,0.0004841973,100.24026400929894,777.0620607295086,3.9302294841e-07,0.002422866157565093,LEO,LEO,-0.195321782284486,1
XMM-NEWTON,1999-066A,25989,2025-10-16 00:43:48.787392,0.50134194,0.4770935,65.6996,286.1977,69.2389,0.1682,1.6e-07,0.0,2178,0.0,2872.2911153214113,60562.85159968473,0.0,1.9893075451278737,GEO,HEO,0.09290895470865612,-1
